Dataset(s)	Experiment type	Path	Notes						
Shutterstock_5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-07-07-50-17							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-08-00-07-00							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-11-03-49							
Shutterstock_7.5m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-20-13-11-33							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-12-17-25-38							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-14-06-39-36							
Shutterstock_9.6m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-28-22-22-52							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-13-02-26-41							
Seed 2 	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-14-15-41-20							
Shutterstock_15m	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-02-20-08-01-45							
Seed 1	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-13-13-38-44							
Seed 2	Data efficiency	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-05-15-02-51-48							
									
YFCC (7.5M) - with YFCC CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-16-00-11-06							
LAION (7.5M) - with LAION CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-21-02-03-44							
YFCC (7.5M) - with OPENAI CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-19-18-42-42							
LAION (7.5M) - with OPENAI CLIP	Filtering	/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=128_workers=8_date=2022-04-23-13-48-24							
									
									
YFCC5M (bs=256)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-27-21-19-35							
LAION5M (bs=256)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-27-22-00-12							
YFCC5M (bs=256, different random data seed)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-30-22-11-11							
LAION5M (bs=256, different random data seed)		/gscratch/sewoong/thaottn/open_clip/logs/lr=0.001_wd=0.1_agg=True_model=RN50_batchsize=256_workers=8_date=2022-07-30-22-08-36							
